case_id,prompt_version,run_id,schema_pass,goal_consistency_pass,jtbd_dimensions_pass,specificity_1_5,relevance_1_5,testability_1_5,consistency_1_5,claim_safety_1_5,testable_items,total_items,strongest_item,weakest_item,recommended_revision,reviewer
translation-earbuds-us-acquisition,v0.1,cbb8ba98-1643-4a63-a391-4b18d62e0835,true,true,true,4,4,4,4,2,20,25,"Business-dinner language barrier is concrete and relevant.","Current translation apps are often slow and unreliable.","Frame category comparisons and frequency claims as hypotheses until researched.","single-reviewer internal baseline"
pulsepilot-us-acquisition,v0.1,cf88c042-937a-4d9c-aba9-e35662047ce4,true,true,true,4,5,4,4,2,21,25,"Manual transfer of action items into a project tool is a testable workflow.","Many users feel overwhelmed by meeting information.","Replace population-level claims with cautious hypotheses and observable interview prompts.","single-reviewer internal baseline"
draftflow-uk-conversion,v0.1,c9d80d42-1a4d-4e50-8159-130145a28b6e,true,true,true,4,5,4,4,3,15,17,"Failure to invite collaborators directly connects to conversion.","The onboarding process is described as cumbersome without evidence.","Label inferred onboarding friction and verify it against trial-session evidence.","single-reviewer internal baseline"
lingualoop-japan-retention,v0.1,a6eaf6fb-4569-4855-8563-97703747a9d2,true,true,true,4,5,4,4,3,21,25,"The first-week drop is translated into concrete churn interviews.","Community support is introduced without a strong signal in the brief.","Prioritize content relevance and time constraints before lower-confidence community ideas.","single-reviewer internal baseline"
clipcraft-canada-launch,v0.1,e538a08c-04ee-478b-9a0f-969cc1dbea98,true,true,true,3,4,3,4,2,18,25,"Extracting short clips from long videos is a clear creator workflow.","Hooks and captions are said to significantly boost engagement.","Avoid implied performance claims and add measurable launch-validation questions.","single-reviewer internal baseline"
devrelay-global-community,v0.1,cf206ce1-f63d-4614-805b-62d630a7f167,true,true,true,4,5,4,4,4,21,25,"Fear of judgment explains why readers may not publish.","Thought-leadership motivation is plausible but secondary.","Rank motivations by confidence and connect them to contribution experiments.","single-reviewer internal baseline"
lumidesk-germany-awareness,v0.1,a10b57ac-fb18-45fa-9be2-8b2a4578129a,true,true,true,3,4,3,3,2,13,17,"Late-night lighting creates a recognizable use situation.","Frequent workspace changes and guest-impression needs feel weakly grounded.","Remove speculative lifestyle details and focus category education on observed lighting problems.","single-reviewer internal baseline"
notenest-australia-sparse,v0.1,c1572ca0-b6c9-4b1f-81e2-c3ff790ea840,true,true,true,3,4,3,4,2,18,25,"Pre-meeting note retrieval is a useful discovery scenario.","Sparse input produces several frequency claims stated as facts.","Lower confidence for sparse briefs and mark every inferred behavior as a hypothesis.","single-reviewer internal baseline"
signalboard-singapore-goal-conflict,v0.1,654bd232-14f2-466a-8505-1e257faf8d23,true,true,true,4,5,4,5,3,21,25,"The workflow preserves Conversion despite a conflicting awareness request.","Trust is said to significantly influence purchasing decisions.","Keep the goal-conflict handling and soften unverified causal language.","single-reviewer internal baseline"
inspectra-us-industrial,v0.1,a395a073-c88d-48ef-bdf2-72793ef39dda,true,true,true,4,5,4,4,4,22,25,"Line stoppage and absence of a case study become concrete pilot barriers.","Trade-show discovery is less important than installation and ROI proof.","Prioritize pilot decision criteria and add operational success thresholds.","single-reviewer internal baseline"
localizekit-france-retention,v0.1,874c6f1c-096d-4085-a7ed-3644c8fe8165,true,true,true,4,5,4,4,2,15,17,"Email-based translator coordination is a specific renewal-risk workflow.","Integration and approval delays are described as frequent facts.","Convert frequency and productivity claims into validation questions or explicit assumptions.","single-reviewer internal baseline"
calmcommute-korea-awareness,v0.1,469426f3-9d2c-436f-ac2e-df299afb5c4a,true,true,true,4,4,4,4,3,13,16,"The work-to-home transition is a focused awareness territory.","Difficulty planning evenings is stated too broadly.","Use conditional wording and test whether planning or decompression is the stronger job.","single-reviewer internal baseline"
